timestamp_sec,timestamp_nanosec,orient_x,orient_y,orient_z,orient_w,ang_vel_x,ang_vel_y,ang_vel_z,lin_accel_x,lin_accel_y,lin_accel_z,mag_x,mag_y,mag_z,temperature_celsius,wifi_ssid,wifi_signal_strength
1762542618,890294127,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0033333333333333335,0.0,0.04,0.0,-0.08,-5.25e-06,-3.375e-06,-5.55625e-05,,TP-Link_C53A,-25
1762542618,989928164,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,-0.0011111111111111111,0.0,0.01,0.0,-0.06,-4.5625e-06,-3.375e-06,-5.6875e-05,,TP-Link_C53A,-25
1762542619,90112942,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0,0.0,0.01,0.0,-0.07,-5.25e-06,-3.375e-06,-5.6e-05,,TP-Link_C53A,-25
1762542619,190188516,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0,0.0,0.0,0.0,-0.07,-4.1875e-06,-3e-06,-5.725e-05,,TP-Link_C53A,-25
1762542619,289627238,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0011111111111111111,0.0,0.02,-0.01,-0.07,-5.25e-06,-3.375e-06,-5.725e-05,,TP-Link_C53A,-25
1762542619,389147646,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0,0.0,0.0,-0.01,-0.08,-4.5625e-06,-3.375e-06,-5.6375e-05,,TP-Link_C53A,-26
1762542619,489186905,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,-0.0011111111111111111,0.0,0.0,0.02,0.02,-0.08,-4.5625e-06,-3e-06,-5.55625e-05,,TP-Link_C53A,-26
1762542619,588931738,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0,0.0,-0.01,-0.01,-0.09,-4.5625e-06,-4.0625e-06,-5.6e-05,,TP-Link_C53A,-26
1762542619,689442127,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0011111111111111111,0.0,0.0,0.01,-0.09,-4.5625e-06,-3.375e-06,-5.6875e-05,,TP-Link_C53A,-25
1762542619,788631460,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0,0.0,0.01,0.0,-0.09,-4.1875e-06,-3.375e-06,-5.6375e-05,,TP-Link_C53A,-26
1762542619,888605997,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0011111111111111111,-0.0011111111111111111,0.0,0.02,0.0,-0.08,-5.25e-06,-3e-06,-5.6e-05,,TP-Link_C53A,-26
1762542619,988648368,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,-0.0022222222222222222,0.0,-0.0011111111111111111,0.0,0.0,-0.09,-4.1875e-06,-3.375e-06,-5.6e-05,,TP-Link_C53A,-26
1762542620,89114719,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,-0.0011111111111111111,0.0,0.01,-0.01,-0.1,-3.75e-06,-3e-06,-5.6e-05,,TP-Link_C53A,-26
1762542620,188310071,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,-0.0033333333333333335,0.0,0.03,0.0,-0.06,-5.25e-06,-3e-06,-5.6875e-05,,TP-Link_C53A,-26
1762542620,287768534,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,-0.0033333333333333335,-0.0022222222222222222,0.03,0.0,-0.12,-4.5625e-06,-3.75e-06,-5.6e-05,,TP-Link_C53A,-26
1762542620,388260071,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0022222222222222222,0.0011111111111111111,0.02,0.0,-0.08,-4.5625e-06,-3.375e-06,-5.6375e-05,,TP-Link_C53A,-26
1762542620,487184849,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0011111111111111111,0.0,0.0,0.0,-0.07,-4.875e-06,-3.375e-06,-5.6875e-05,,TP-Link_C53A,-26
1762542620,587101904,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,-0.0011111111111111111,0.0,0.0,0.02,0.01,-0.08,-4.1875e-06,-3.375e-06,-5.6875e-05,,TP-Link_C53A,-26
1762542620,677103997,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0011111111111111111,0.0,0.0,0.0,0.0,-0.07,-4.5625e-06,-3e-06,-5.725e-05,,TP-Link_C53A,-26
1762542620,786167774,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0,0.0,0.04,0.0,-0.08,-4.875e-06,-3e-06,-5.6375e-05,,TP-Link_C53A,-26
1762542620,886069497,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0,0.0,0.0,0.0,-0.11,-4.1875e-06,-3.375e-06,-5.6e-05,,TP-Link_C53A,-26
1762542620,986083867,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0,0.0,0.0,-0.01,-0.09,-4.5625e-06,-3e-06,-5.6e-05,,TP-Link_C53A,-26
1762542621,83739682,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0,0.0011111111111111111,-0.01,0.01,-0.07,-4.5625e-06,-3.375e-06,-5.6875e-05,,TP-Link_C53A,-26
1762542621,185445959,-0.5,-0.5,-0.5,-0.5,-0.0011111111111111111,-0.0011111111111111111,-0.0011111111111111111,0.01,0.0,-0.08,-3.75e-06,-3.375e-06,-2.4375e-05,,TP-Link_C53A,-26
1762542621,285328404,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,-0.0011111111111111111,0.0,0.02,0.0,-0.05,-4.5625e-06,-3.75e-06,-5.50625e-05,,TP-Link_C53A,-26
1762542621,385317237,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,-0.0022222222222222222,0.0,0.04,-0.01,-0.05,-4.1875e-06,-4.0625e-06,-5.725e-05,,TP-Link_C53A,-26
1762542621,484712015,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0,0.0,0.01,0.0,-0.08,-4.1875e-06,-2.5625e-06,-5.6e-05,,TP-Link_C53A,-26
1762542621,585030237,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0,0.0,0.0,-0.01,-0.08,-4.5625e-06,-2.5625e-06,-5.50625e-05,,TP-Link_C53A,-26
1762542621,684731478,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,-0.0022222222222222222,0.0,0.0,0.0,-0.01,-0.07,-4.1875e-06,-3.375e-06,-5.6375e-05,,TP-Link_C53A,-26
1762542621,784457792,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,0.0,0.0,0.0,0.0,0.0,-0.08,-3.0625e-06,-3e-06,-5.6375e-05,,TP-Link_C53A,-26
1762542621,884453848,0.020263851123777432,-0.013488888850466303,6.103569615595612e-05,0.9997036673384053,-0.0011111111111111111,0.0033333333333333335,-0.0022222222222222222,-0.02,0.02,-0.14,-5.25e-06,-3.75e-06,-5.6875e-05,,TP-Link_C53A,-26
1762542621,974367866,0.02026385055760198,-0.01348888847358445,0.0002441427778024335,0.9997036394065145,0.0,0.0022222222222222222,0.013333333333333334,-0.01,0.15,-0.1,-3.75e-06,-3.375e-06,-5.6e-05,,TP-Link_C53A,-26
1762542622,82814996,0.02026385055760198,-0.01348888847358445,-0.0002441427778024335,0.9997036394065145,0.0,0.0,-0.022222222222222223,0.13,-0.48,-0.04,-5.25e-06,-2.5625e-06,-5.725e-05,,TP-Link_C53A,-26
1762542622,186984514,0.02026384874584085,-0.013488887267562734,0.0004882855119479723,0.9997035500244797,0.0022222222222222222,0.0044444444444444444,0.025555555555555557,0.15,-0.14,-0.08,-2.6875e-06,-2e-06,-3.375e-05,,TP-Link_C53A,-26
1762542622,282654662,0.020202806546630644,-0.013488882920862151,0.001831070079755043,0.9997032278769283,0.0044444444444444444,0.0011111111111111111,0.02,0.01,0.08,-0.11,-2.5625e-06,-1.875e-06,-3.36875e-05,,TP-Link_C53A,-26
1762542622,391505477,0.01995877331794476,-0.013366884882660253,0.01129166074562624,0.9996476740100896,0.0011111111111111111,0.017777777777777778,0.43555555555555553,-0.03,-0.26,-0.02,-3.25e-06,-1.875e-06,-3.2875e-05,,TP-Link_C53A,-26
1762542622,482122662,0.019897891833251857,-0.012634550949334768,0.04290864404532533,0.998800926255624,0.012222222222222223,0.03111111111111111,0.7055555555555556,0.25,0.06,-0.01,-3.1875e-06,-1.875e-06,-3.25625e-05,,TP-Link_C53A,-26
1762542622,590767199,0.019836283495177014,-0.012512117281573193,0.06860302353408912,0.9973683341375003,0.0044444444444444444,0.0,0.3022222222222222,-0.09,-0.27,0.09,-3.6875e-06,-1.875e-07,-3.2875e-05,,TP-Link_C53A,-26
1762542622,672693421,0.019592532550202133,-0.01257340095122006,0.07910256132418057,0.9965946152015589,0.0033333333333333335,0.012222222222222223,0.2833333333333333,0.04,-0.45,-0.2,-4.875e-06,7.5e-07,-3.36875e-05,,TP-Link_C53A,-26
1762542622,782576440,0.01886037211365012,-0.0122683973943161,0.10016139365210307,0.9947167777869127,0.022222222222222223,0.04111111111111111,0.41555555555555557,-0.08,-0.33,-0.37,-8.25e-06,1.25e-06,-3.5e-05,,TP-Link_C53A,-26
1762542622,890718736,0.01855500954590621,-0.011963098259860583,0.12115688798889418,0.9923878296279246,0.0,0.02,0.47555555555555556,-0.24,-0.07,-0.03,-1.00625e-05,2e-06,-3.4e-05,,TP-Link_C53A,-27
1762542622,972553958,0.0190426689621598,-0.011352360342826034,0.13598418733234624,0.9904629228138757,0.017777777777777778,0.028888888888888888,0.3488888888888889,0.11,0.48,0.21,-1.175e-05,3.1875e-06,-3.4e-05,,TP-Link_C53A,-27
1762542623,90853421,0.019653090826222543,-0.01098619984074552,0.1461774923254751,0.9890021234413356,0.0044444444444444444,0.005555555555555556,0.09777777777777778,0.19,0.13,-0.13,-1.3375e-05,3.75e-06,-3.3875e-05,,TP-Link_C53A,-28
1762542623,191017847,0.019775371986751424,-0.011047352869142,0.1493528865789529,0.988524458942673,-0.0011111111111111111,0.006666666666666667,0.06,0.13,0.15,-0.02,-1.56875e-05,3.375e-06,-3.25625e-05,,TP-Link_C53A,-28
1762542623,272197606,0.019958966493195028,-0.010803477276133087,0.15039416953893744,0.9883655792792265,0.0011111111111111111,0.013333333333333334,0.023333333333333334,-0.06,-0.1,-0.14,-1.625e-05,3.375e-06,-3.30625e-05,,TP-Link_C53A,-29
1762542623,391033884,0.0204473096036742,-0.010864540625235843,0.1499062459302204,0.9884290499161194,0.0,-0.0022222222222222222,-0.025555555555555557,0.38,-0.03,-0.04,-1.66875e-05,3.75e-06,-3.35e-05,,TP-Link_C53A,-29
1762542623,482200384,0.020508207906980987,-0.010864467284055403,0.14953901598840302,0.9884834138498723,0.006666666666666667,0.0044444444444444444,0.034444444444444444,1.16,0.07,-0.11,-1.6875e-05,3.1875e-06,-3.3875e-05,,TP-Link_C53A,-29
1762542623,582682088,0.019775280490659145,-0.011047301755584276,0.14361492282259558,0.9893743726962493,-0.017777777777777778,-0.027777777777777776,-0.35444444444444445,-0.68,0.5,0.06,-1.525e-05,3.5625e-06,-3.3875e-05,,TP-Link_C53A,-29
